Tabelle 0:
O2,Sedativum
ja,ja
ja,nein
nein,ja
nein,nein
Tabelle 1:
leer
Table-Id: 0 Immer: 102
Table-Id: 1 Immer: 103
Table-Id: 2 Immer: 104
Table-Id: 3 Immer: 105
Table-Id: 4 Immer: 106
Table-Id: 5 Immer: 107
"Table-Id: 6 'Nicht beatmet:', '237', '277', '317', '357', 'Beatmet:', '717'"
"Table-Id: 7 'Nicht beatmet:', '238', '278', '318', '358', 'Beatmet:', '718'"
"Table-Id: 8 'Nicht beatmet:', '239', '279', '319', '359', 'Beatmet:', '719'"
"Table-Id: 9 'Nicht beatmet:', '240', '280', '320', '360', 'Beatmet:', '720'"
Table-Id: 10 Immer: 552
Table-Id: 11 Immer: 553
Table-Id: 12 Immer: 554
Table-Id: 13 Immer: 555
Table-Id: 14 Immer: 556
Table-Id: 15 Immer: 557
