Status,Airway,Breathing,Circulation,Bewusstsein,Pupillen,Psyche,Haut,BGA-Oxy,BGA_SBH,Hb,BZ,Gerinnung,Leber,Niere,Infarkt,Lactat,Rö-Extremitäten,Rö-Thorax,Trauma-CT,Ultraschall,EKG,ZVD,Beschreibung,Übergangstabelle
101,freie Atemwege,Atemfreq: 21 /min|SpO2: 96 %|vertiefte Atmung|normales AG hörbar,Herzfreq: 72 /min|peripher kräftig tastbar|RR: 143.076,"wach, nicht orientiert",mittelweit,sehr aufgeregt,trocken|blass,612,656,420,928,104,117,126,135,345,607,389,207,624,722,833,Pat. klagt über starke Schmerzen,0
102,freie Atemwege,Atemfreq: 21 /min|SpO2: 97 %|vertiefte Atmung|normales AG hörbar,Herzfreq: 74 /min|peripher kräftig tastbar|RR: 145.079,"wach, nicht orientiert",mittelweit,sehr aufgeregt,trocken|blass,612,656,420,920,104,117,126,135,345,607,389,207,624,722,833,Pat. klagt über starke Schmerzen,1
103,freie Atemwege,Atemfreq: 21 /min|SpO2: 96 %|vertiefte Atmung|normales AG hörbar,Herzfreq: 72 /min|peripher kräftig tastbar|RR: 142.077,"wach, nicht orientiert",mittelweit,sehr aufgeregt,trocken|blass,612,656,420,954,104,117,126,135,345,607,389,207,624,722,833,Pat. klagt über starke Schmerzen,2
104,freie Atemwege,Atemfreq: 25 /min|SpO2: 97 %|vertiefte Atmung|normales AG hörbar,Herzfreq: 104 /min|peripher tastbar|RR: 75.068,somnolent,mittelweit,,trocken|blass,612,658,422,920,104,117,126,135,345,607,389,207,624,722,822,Monitoralarm / Pat. verschlechtert sich klinisch,3
204,freie Atemwege,Atemfreq: 22 /min|SpO2: 99 %|normales AG hörbar,Herzfreq: 61 /min|peripher kräftig tastbar|RR: 133.086,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,418,906,104,117,126,135,345,511,370,274,665,722,807,,4
205,freie Atemwege,Atemfreq: 22 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 59 /min|peripher kräftig tastbar|RR: 130.084,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,418,920,104,117,126,135,345,640,429,173,502,722,807,,5
206,freie Atemwege,Atemfreq: 22 /min|SpO2: 99 %|normales AG hörbar,Herzfreq: 61 /min|peripher kräftig tastbar|RR: 132.087,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,418,906,104,117,126,135,345,563,377,191,626,722,807,,6
207,freie Atemwege,Atemfreq: 22 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 59 /min|peripher tastbar|RR: 129.085,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,418,920,104,117,126,135,345,563,377,191,626,722,807,,7
208,freie Atemwege,Atemfreq: 22 /min|SpO2: 99 %|normales AG hörbar,Herzfreq: 61 /min|peripher kräftig tastbar|RR: 131.088,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,418,906,104,117,126,135,345,563,377,191,626,722,807,,8
209,freie Atemwege,Atemfreq: 22 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 59 /min|peripher tastbar|RR: 128.086,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig|,612,656,418,920,104,117,126,135,345,563,377,191,626,722,807,,9
210,,,,,,,,,,,,,,,,,,,,,,,,
214,freie Atemwege,Atemfreq: 22 /min|SpO2: 99 %|normales AG hörbar,Herzfreq: 64 /min|peripher tastbar|RR: 121.077,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|blass,612,656,420,906,104,117,126,135,345,511,370,274,665,722,833,,4
215,freie Atemwege,Atemfreq: 26 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 81 /min|peripher tastbar|RR: 87.074,somnolent,mittelweit,,trocken|blass,612,656,422,920,104,117,126,135,345,640,429,173,502,722,837,,5
216,freie Atemwege,Atemfreq: 26 /min|SpO2: 99 %|normales AG hörbar,Herzfreq: 83 /min|peripher tastbar|RR: 89.077,somnolent,mittelweit,,trocken|blass,612,656,422,906,104,117,126,135,345,563,377,191,626,722,837,,6
217,freie Atemwege,Atemfreq: 26 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 81 /min|peripher tastbar|RR: 86.075,somnolent,mittelweit,,trocken|blass,612,656,422,920,104,117,126,135,345,563,377,191,626,722,837,,7
218,freie Atemwege,Atemfreq: 26 /min|SpO2: 99 %|normales AG hörbar,Herzfreq: 83 /min|peripher tastbar|RR: 88.078,somnolent,mittelweit,,trocken|blass,612,656,422,906,104,117,126,135,345,563,377,191,626,722,837,,8
219,freie Atemwege,Atemfreq: 26 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 81 /min|peripher tastbar|RR: 85.076,somnolent,mittelweit,,trocken|blass|,612,656,422,920,104,117,126,135,345,563,377,191,626,722,837,,9
220,,,,,,,,,,,,,,,,,,,,,,,,
224,freie Atemwege,Atemfreq: 22 /min|SpO2: 99 %|vertiefte Atmung|normales AG hörbar,Herzfreq: 68 /min|peripher tastbar|RR: 115.085,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|blass,612,656,413,906,104,117,126,135,345,511,370,274,665,722,820,,4
225,freie Atemwege,Atemfreq: 22 /min|SpO2: 98 %|vertiefte Atmung|normales AG hörbar,Herzfreq: 66 /min|peripher tastbar|RR: 112.083,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|blass,612,656,413,920,104,117,126,135,345,640,429,173,502,722,820,,5
