Status,Airway,Breathing,Circulation,Bewusstsein,Pupillen,Psyche,Haut,BGA-Oxy,BGA-SBH,Hb,BZ,Gerinnung,Leber,Niere,Infarkt,Lactat,Rö-Extremitäten,Rö-Thorax,Trauma-CT,Ultraschall,EKG,ZVD,Beschreibung,Übergangstabelle
101,freie Atemwege,Atemfreq: 16 /min|SpO2: 96 %|normales AG hörbar,Herzfreq: 88 /min|peripher tastbar|RR: 125/063,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,424,906,104,117,126,135,345,586,382,273,615,737,812,Pat. hat keine Schmerzen,0
351,freie Atemwege,Atemfreq: 16 /min|SpO2: 96 %|normales AG hörbar,Herzfreq: 86 /min|peripher tastbar|RR: 129/067,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,424,912,104,117,126,135,345,586,382,273,615,737,812,Pat. hat keine Schmerzen,1
352,freie Atemwege,Atemfreq: 18 /min|SpO2: 97 %|normales AG hörbar,Herzfreq: 90 /min|peripher kräftig tastbar|RR: 135/071,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,424,926,104,117,126,135,345,586,382,273,615,737,820,Pat. hat keine Schmerzen,2
353,freie Atemwege,Atemfreq: 16 /min|SpO2: 96 %|normales AG hörbar,Herzfreq: 86 /min|peripher kräftig tastbar|RR: 130/068,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,424,912,104,117,126,135,345,586,382,273,615,737,812,Pat. hat keine Schmerzen,3
354,freie Atemwege,Atemfreq: 18 /min|SpO2: 97 %|normales AG hörbar,Herzfreq: 90 /min|peripher kräftig tastbar|RR: 136/072,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,424,926,104,117,126,135,345,586,382,273,615,737,820,Pat. hat keine Schmerzen,4
355,freie Atemwege,Atemfreq: 16 /min|SpO2: 96 %|normales AG hörbar,Herzfreq: 86 /min|peripher kräftig tastbar|RR: 131/069,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,424,912,104,117,126,135,345,586,382,273,615,737,812,Pat. hat keine Schmerzen,5
356,freie Atemwege,Atemfreq: 18 /min|SpO2: 97 %|normales AG hörbar,Herzfreq: 90 /min|peripher kräftig tastbar|RR: 137/073,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,424,926,104,117,126,135,345,586,382,273,615,737,820,Pat. hat keine Schmerzen,6
357,freie Atemwege,Atemfreq: 16 /min|SpO2: 96 %|normales AG hörbar,Herzfreq: 86 /min|peripher kräftig tastbar|RR: 132/070,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,424,912,104,117,126,135,345,586,382,273,615,737,812,Pat. hat keine Schmerzen,7
358,freie Atemwege,Atemfreq: 18 /min|SpO2: 97 %|normales AG hörbar,Herzfreq: 90 /min|peripher kräftig tastbar|RR: 138/074,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,424,919,104,117,126,135,345,586,382,273,615,737,820,Pat. hat keine Schmerzen,8
359,freie Atemwege,Atemfreq: 16 /min|SpO2: 96 %|normales AG hörbar,Herzfreq: 86 /min|peripher kräftig tastbar|RR: 133/071,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,424,912,104,117,126,135,345,586,382,273,615,737,812,Pat. hat keine Schmerzen,9
360,,,,,,,,,,,,,,,,,,,,,,,,
500,,Atemfrequenz: 0 /min|SpO2: n.m. %|Atemstillstand,Herzfreq: 0 /min|0|RR: 0,keine Reaktion,"weit, entrundet",,kalt|grau/marmoriert,,,,,,,,,,,,,,,,0|sichere Todeszeichen,
502,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 0 % nicht messbar|Beatmung,Herzfreq: 0 /min|0|RR: 0,keine Reaktion,"weit, entrundet",,kalt|grau/marmoriert,,,,,,,,,,,,,,,,0|sichere Todeszeichen,
551,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 96 %|Beatmung|normales AG hörbar,Herzfreq: 88 /min|peripher tastbar|RR: 120/063,narkotisiert,mittelweit,,trocken|rosig,612,656,424,906,104,117,126,135,345,586,382,273,615,737,801,,0
751,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 96 %|Beatmung|normales AG hörbar,Herzfreq: 86 /min|peripher tastbar|RR: 124/067,narkotisiert,mittelweit,,trocken|rosig,612,656,424,912,104,117,126,135,345,586,382,273,615,737,801,,1
752,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 97 %|Beatmung|normales AG hörbar,Herzfreq: 90 /min|peripher kräftig tastbar|RR: 130/071,narkotisiert,mittelweit,,trocken|rosig,612,656,424,926,104,117,126,135,345,586,382,273,615,737,803,,2
753,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 96 %|Beatmung|normales AG hörbar,Herzfreq: 86 /min|peripher tastbar|RR: 125/068,narkotisiert,mittelweit,,trocken|rosig,612,656,424,912,104,117,126,135,345,586,382,273,615,737,801,,3
754,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 97 %|Beatmung|normales AG hörbar,Herzfreq: 90 /min|peripher kräftig tastbar|RR: 131/072,narkotisiert,mittelweit,,trocken|rosig,612,656,424,926,104,117,126,135,345,586,382,273,615,737,803,,4
