Status,Airway,Breathing,Circulation,Bewusstsein,Pupillen,Psyche,Haut,BGA-Oxy,BGA-SBH,Hb,BZ,Gerinnung,Leber,Niere,Infarkt,Lactat,Rö-Extremitäten,Rö-Thorax,Trauma-CT,Ultraschall,EKG,ZVD,Beschreibung,Übergangstabelle
101,freie Atemwege,Atemfreq: 18 /min|SpO2: 94 %|normales AG hörbar,Herzfreq: 88 /min|peripher tastbar|RR: 125.063,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,906,104,117,126,135,345,559,432,106,615,748,812,Pat. hat keine Schmerzen,0
102,freie Atemwege,Atemfreq: 20 /min|SpO2: 95 %|normales AG hörbar,Herzfreq: 92 /min|peripher kräftig tastbar|RR: 131.067,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,912,104,117,126,135,345,559,432,106,615,748,820,Pat. hat keine Schmerzen,1
103,freie Atemwege,Atemfreq: 30 /min|SpO2: 95 %|vertiefte Atmung|normales AG hörbar,Herzfreq: 101 /min|peripher kräftig tastbar|RR: 144.084,"wach, orientiert",mittelweit,aufgeregt,trocken|rosig,612,656,423,906,104,117,126,135,345,559,432,106,615,748,812,Pat. klagt über sehr starke Schmerzen,2
203,freie Atemwege,Atemfreq: 16 /min|SpO2: 98 %|flache Atmung|normales AG hörbar,Herzfreq: 86 /min|peripher tastbar|RR: 112.026,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,912,104,117,126,135,345,559,432,106,615,748,812,Pat. hat keine Schmerzen,3
204,freie Atemwege,Atemfreq: 17 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 92 /min|peripher tastbar|RR: 120.033,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,926,104,117,126,135,345,559,432,106,615,748,820,Pat. hat keine Schmerzen,4
205,freie Atemwege,Atemfreq: 15 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 89 /min|peripher tastbar|RR: 117.033,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,912,104,117,126,135,345,559,432,106,615,748,812,Pat. hat keine Schmerzen,5
206,freie Atemwege,Atemfreq: 16 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 96 /min|peripher tastbar|RR: 125.040,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,926,104,117,126,135,345,559,432,106,615,748,820,Pat. hat keine Schmerzen,6
207,freie Atemwege,Atemfreq: 14 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 93 /min|peripher tastbar|RR: 122.040,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,912,104,117,126,135,345,559,432,106,615,748,824,Pat. hat keine Schmerzen,7
208,freie Atemwege,Atemfreq: 16 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 100 /min|peripher kräftig tastbar|RR: 130.047,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,919,104,117,126,135,345,559,432,106,615,748,801,Pat. hat keine Schmerzen,8
209,freie Atemwege,Atemfreq: 13 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 97 /min|peripher tastbar|RR: 127.047,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,912,104,117,126,135,345,559,432,106,615,748,824,Pat. hat keine Schmerzen,9
210,,,,,,,,,,,,,,,,,,,,,,,,
213,freie Atemwege,Atemfreq: 22 /min|SpO2: 99 %|flache Atmung|normales AG hörbar,Herzfreq: 91 /min|peripher tastbar|RR: 129.056,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,912,104,117,126,135,345,559,432,106,615,748,812,Pat. hat keine Schmerzen,3
214,freie Atemwege,Atemfreq: 23 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 98 /min|peripher kräftig tastbar|RR: 137.063,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,926,104,117,126,135,345,559,432,106,615,748,820,Pat. hat keine Schmerzen,4
215,freie Atemwege,Atemfreq: 21 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 95 /min|peripher kräftig tastbar|RR: 134.063,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,912,104,117,126,135,345,559,432,106,615,748,812,Pat. hat keine Schmerzen,5
216,freie Atemwege,Atemfreq: 22 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 102 /min|peripher kräftig tastbar|RR: 142.070,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,926,104,117,126,135,345,559,432,106,615,748,820,Pat. hat keine Schmerzen,6
