Tabelle 0:
Infusion,EK´s
0,0
0,2
0,4
0,6
1000,0
1000,2
1000,4
1000,6
2000,0
2000,2
2000,4
2000,6
3000,0
3000,2
3000,4
3000,6
Tabelle 1:
Infusion,EK´s
0,0
0,2
0,4
0,6
1000,0
1000,2
1000,4
1000,6
2000,0
2000,2
2000,4
2000,6
3000,0
3000,2
3000,4
3000,6
Table-Id: 0 Immer: 102
Table-Id: 1 Immer: 103
Table-Id: 2 Immer: 104
Table-Id: 3 Immer: 105
Table-Id: 4 Immer: 106
Table-Id: 5 Immer: 107
Table-Id: 6 Immer: 108
"Table-Id: 7 'Nicht beatmet:', '358', '338', '348', '328', '278', '258', '268', '248', '318', '298', '308', '288', '238', '218', '228', '208', 'Beatmet:', '758', '738', '748', '728', '678', '658', '668', '648', '718', '698', '708', '688', '638', '618', '628', '608'"
"Table-Id: 8 keine Bluttstillung: 500'Nicht beatmet:', '359', '339', '349', '329', '279', '259', '269', '249', '319', '299', '309', '289', '239', '219', '229', '209', 'Beatmet:', '759', '739', '749', '729', '679', '659', '669', '649', '719', '699', '709', '689', '639', '619', '629', '609'"
"Table-Id: 9 'Nicht beatmet:', '360', '340', '350', '330', '280', '260', '270', '250', '320', '300', '310', '290', '240', '220', '230', '210', 'Beatmet:', '760', '740', '750', '730', '680', '660', '670', '650', '720', '700', '710', '690', '640', '620', '630', '610'"
Table-Id: 10 Immer: 552
Table-Id: 11 Immer: 553
Table-Id: 12 Immer: 554
Table-Id: 13 Immer: 555
Table-Id: 14 Immer: 556
Table-Id: 15 Immer: 557
Table-Id: 16 Immer: 558
"Table-Id: 17 keine Bluttstillung: 502'Nicht beatmet:', '359', '339', '349', '329', '279', '259', '269', '249', '319', '299', '309', '289', '239', '219', '229', '209', 'Beatmet:', '759', '739', '749', '729', '679', '659', '669', '649', '719', '699', '709', '689', '639', '619', '629', '609'"
