Tabelle 0:
O2,Analgesie,Thoraxdrainage/ Pleurapunktion
ja,ja,ja
ja,ja,nein
ja,nein,ja
ja,nein,nein
nein,ja,ja
nein,ja,nein
nein,nein,ja
nein,nein,nein
Tabelle 1:
Thoraxdrainage/ Pleurapunktion
ja
nein
Table-Id: 0 Immer: 102
Table-Id: 1 Immer: 103
Table-Id: 2 Immer: 104
Table-Id: 3 Immer: 105
"Table-Id: 4 'Nicht beatmet:', '215', '235', '255', '275', '295', '315', '335', '355', 'Beatmet:', '735', '755'"
"Table-Id: 5 'Nicht beatmet:', '216', '236', '256', '276', '296', '316', '336', '356', 'Beatmet:', '736', '756'"
"Table-Id: 6 'Nicht beatmet:', '217', '237', '257', '277', '297', '317', '337', '357', 'Beatmet:', '737', '757'"
"Table-Id: 7 'Nicht beatmet:', '218', '238', '258', '278', '298', '318', '338', '358', 'Beatmet:', '738', '758'"
"Table-Id: 8 'Nicht beatmet:', '219', '239', '259', '279', '299', '319', '339', '359', 'Beatmet:', '739', '759'"
"Table-Id: 9 'Nicht beatmet:', '220', '240', '260', '280', '300', '320', '340', '360', 'Beatmet:', '740', '760'"
Table-Id: 10 Immer: 500
Table-Id: 11 Immer: 552
Table-Id: 12 Immer: 553
Table-Id: 13 Immer: 554
Table-Id: 14 Immer: 555
Table-Id: 15 Immer: 502
