Status,Airway,Breathing,Circulation,Bewusstsein,Pupillen,Psyche,Haut,BGA-Oxy,BGA-SBH,Hb,BZ,Gerinnung,Leber,Niere,Infarkt,Lactat,Rö-Extremitäten,Rö-Thorax,Trauma-CT,Ultraschall,EKG,ZVD,Beschreibung,Übergangstabelle
101,freie Atemwege,Atemfreq: 14 /min|SpO2: 95 %|normales AG hörbar,Herzfreq: 74 /min|peripher kräftig tastbar|RR: 155.098,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,424,906,104,117,126,135,345,600,339,228,615,701,812,Pat. hat keine Schmerzen,0
102,freie Atemwege,Atemfreq: 16 /min|SpO2: 96 %|normales AG hörbar,Herzfreq: 78 /min|peripher kräftig tastbar|RR: 161.102,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,424,912,104,117,126,135,345,600,339,228,615,701,820,Pat. hat keine Schmerzen,1
103,freie Atemwege,Atemfreq: 14 /min|SpO2: 95 %|normales AG hörbar,Herzfreq: 74 /min|peripher kräftig tastbar|RR: 156.099,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,424,906,104,117,126,135,345,600,339,228,615,701,812,Pat. hat keine Schmerzen,2
104,freie Atemwege,Atemfreq: 16 /min|SpO2: 96 %|normales AG hörbar,Herzfreq: 78 /min|peripher kräftig tastbar|RR: 162.103,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,424,912,104,117,126,135,345,600,339,228,615,701,820,Pat. hat keine Schmerzen,3
105,freie Atemwege,Atemfreq: 14 /min|SpO2: 95 %|normales AG hörbar,Herzfreq: 74 /min|peripher kräftig tastbar|RR: 157.100,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,424,906,104,117,126,135,345,600,339,228,615,701,812,Pat. hat keine Schmerzen,4
106,freie Atemwege,Atemfreq: 16 /min|SpO2: 96 %|normales AG hörbar,Herzfreq: 78 /min|peripher kräftig tastbar|RR: 163.104,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,424,926,104,117,126,135,345,600,339,228,615,701,820,Pat. hat keine Schmerzen,5
107,freie Atemwege,Atemfreq: 26 /min|SpO2: 96 %|vertiefte Atmung|normales AG hörbar,Herzfreq: 86 /min|peripher kräftig tastbar|RR: 176.121,"wach, orientiert",mittelweit,aufgeregt,trocken|rosig,612,656,424,906,104,117,126,135,345,600,339,228,615,701,812,Pat. klagt über sehr starke Schmerzen,6
207,freie Atemwege,Atemfreq: 12 /min|SpO2: 98 %|flache Atmung|normales AG hörbar,Herzfreq: 73 /min|peripher kräftig tastbar|RR: 144.063,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,424,912,104,117,126,135,345,600,339,228,615,701,812,Pat. hat keine Schmerzen,7
208,freie Atemwege,Atemfreq: 13 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 78 /min|peripher kräftig tastbar|RR: 152.070,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,424,919,104,117,126,135,345,600,339,228,615,701,820,Pat. hat keine Schmerzen,8
209,freie Atemwege,Atemfreq: 11 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 76 /min|peripher kräftig tastbar|RR: 149.070,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,424,912,104,117,126,135,345,600,339,228,615,701,812,Pat. hat keine Schmerzen,9
