Tabelle 0:
O2,Glucose
ja,ja
ja,nein
nein,ja
nein,nein
Tabelle 1:
Glucose
ja
nein
Table-Id: 0 Immer: 102
Table-Id: 1 Immer: 103
Table-Id: 2 Immer: 104
Table-Id: 3 Immer: 105
Table-Id: 4 Immer: 106
"Table-Id: 5 'Nicht beatmet:', '236', '276', '316', '356', 'Beatmet:', '716', '756'"
"Table-Id: 6 'Nicht beatmet:', '237', '277', '317', '357', 'Beatmet:', '717', '757'"
"Table-Id: 7 'Nicht beatmet:', '238', '278', '318', '358', 'Beatmet:', '718', '758'"
"Table-Id: 8 'Nicht beatmet:', '239', '279', '319', '359', 'Beatmet:', '719', '759'"
"Table-Id: 9 'Nicht beatmet:', '240', '280', '320', '360', 'Beatmet:', '720', '760'"
Table-Id: 10 Immer: 552
Table-Id: 11 Immer: 553
Table-Id: 12 Immer: 554
Table-Id: 13 Immer: 555
Table-Id: 14 Immer: 556
