Status,Airway,Breathing,Circulation,Bewusstsein,Pupillen,Psyche,Haut,BGA-Oxy,BGA_SBH,Hb,BZ,Gerinnung,Leber,Niere,Infarkt,Lactat,Rö-Extremitäten,Rö-Thorax,Trauma-CT,Ultraschall,EKG,ZVD,Beschreibung,Übergangstabelle
101,freie Atemwege,Atemfreq: 16 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 72 /min|peripher tastbar|RR: 125.063,"wach, nicht orientiert",mittelweit,unauffällig,feucht|rosig,612,656,423,937,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen,0
351,freie Atemwege,Atemfreq: 16 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 72 /min|peripher tastbar|RR: 129.067,"wach, nicht orientiert",mittelweit,unauffällig,feucht|rosig,612,656,423,910,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen,1
352,freie Atemwege,Atemfreq: 18 /min|SpO2: 99 %|normales AG hörbar,Herzfreq: 76 /min|peripher kräftig tastbar|RR: 135.071,"wach, nicht orientiert",mittelweit,unauffällig,feucht|rosig,612,656,423,939,104,117,126,135,345,617,418,242,615,722,820,Pat. hat keine Schmerzen,2
353,freie Atemwege,Atemfreq: 16 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 72 /min|peripher kräftig tastbar|RR: 130.068,"wach, nicht orientiert",mittelweit,unauffällig,feucht|rosig,612,656,423,910,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen,3
354,freie Atemwege,Atemfreq: 18 /min|SpO2: 99 %|normales AG hörbar,Herzfreq: 76 /min|peripher kräftig tastbar|RR: 136.072,"wach, nicht orientiert",mittelweit,unauffällig,feucht|rosig,612,656,423,939,104,117,126,135,345,617,418,242,615,722,820,Pat. hat keine Schmerzen,4
355,freie Atemwege,Atemfreq: 16 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 72 /min|peripher kräftig tastbar|RR: 131.069,"wach, nicht orientiert",mittelweit,unauffällig,feucht|rosig,612,656,423,939,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen,5
356,freie Atemwege,Atemfreq: 18 /min|SpO2: 99 %|normales AG hörbar,Herzfreq: 76 /min|peripher kräftig tastbar|RR: 137.073,"wach, nicht orientiert",mittelweit,unauffällig,feucht|rosig,612,656,423,939,104,117,126,135,345,617,418,242,615,722,820,Pat. hat keine Schmerzen,6
357,freie Atemwege,Atemfreq: 16 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 72 /min|peripher kräftig tastbar|RR: 132.070,"wach, nicht orientiert",mittelweit,unauffällig,feucht|rosig,612,656,423,939,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen,7
358,freie Atemwege,Atemfreq: 18 /min|SpO2: 99 %|normales AG hörbar,Herzfreq: 76 /min|peripher kräftig tastbar|RR: 138.074,"wach, nicht orientiert",mittelweit,unauffällig,feucht|rosig,612,656,423,939,104,117,126,135,345,617,418,242,615,722,820,Pat. hat keine Schmerzen,8
359,freie Atemwege,Atemfreq: 16 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 72 /min|peripher kräftig tastbar|RR: 133.071,"wach, nicht orientiert",mittelweit,unauffällig,feucht|rosig|,612,656,423,939,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen,9
