Status,Airway,Breathing,Circulation,Bewusstsein,Pupillen,Psyche,Haut,BGA-Oxy,BGA_SBH,Hb,BZ,Gerinnung,Leber,Niere,Infarkt,Lactat,Rö-Extremitäten,Rö-Thorax,Trauma-CT,Ultraschall,EKG,ZVD,Beschreibung,Übergangstabelle
101,freie Atemwege,Atemfreq: 18 /min|SpO2: 98 %|vertiefte Atmung|normales AG hörbar,Herzfreq: 54 /min|peripher kräftig tastbar|RR: 161.091,"wach, orientiert",mittelweit,unauffällig,feucht|rosig,612,656,423,907,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen|Monitoralarm / Pat. verschlechtert sich klinisch,0
102,freie Atemwege,Atemfreq: 18 /min|SpO2: 99 %|vertiefte Atmung|normales AG hörbar,Herzfreq: 54 /min|peripher kräftig tastbar|RR: 167.095,"wach, orientiert",mittelweit,unauffällig,feucht|rosig,612,656,423,947,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen|Monitoralarm / Pat. verschlechtert sich klinisch,1
103,freie Atemwege,Atemfreq: 18 /min|SpO2: 98 %|vertiefte Atmung|normales AG hörbar,Herzfreq: 54 /min|peripher kräftig tastbar|RR: 162.092,"wach, orientiert",mittelweit,unauffällig,feucht|rosig,612,656,423,907,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen|Monitoralarm / Pat. verschlechtert sich klinisch,2
104,freie Atemwege,Atemfreq: 18 /min|SpO2: 99 %|vertiefte Atmung|normales AG hörbar,Herzfreq: 54 /min|peripher kräftig tastbar|RR: 168.096,"wach, orientiert",mittelweit,unauffällig,feucht|rosig,612,656,423,947,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen|Monitoralarm / Pat. verschlechtert sich klinisch,3
105,freie Atemwege,Atemfreq: 18 /min|SpO2: 98 %|vertiefte Atmung|normales AG hörbar,Herzfreq: 54 /min|peripher kräftig tastbar|RR: 163.093,"wach, orientiert",mittelweit,unauffällig,feucht|rosig,612,656,423,907,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen|Monitoralarm / Pat. verschlechtert sich klinisch,4
106,freie Atemwege,Atemfreq: 17 /min|SpO2: 99 %|vertiefte Atmung|normales AG hörbar,Herzfreq: 92 /min|peripher kräftig tastbar|RR: 169.097,"bewußtlos, gezielte Abwehr",weit,,feucht|rosig,612,656,423,947,104,117,126,135,345,617,418,242,615,722,812,,5
236,freie Atemwege,Atemfreq: 15 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 83 /min|peripher kräftig tastbar|RR: 173.101,"wach, nicht orientiert",weit,verlangsamt,trocken|rosig,612,656,423,904,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen,6
237,freie Atemwege,Atemfreq: 15 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 83 /min|peripher kräftig tastbar|RR: 168.098,"wach, nicht orientiert",weit,verlangsamt,trocken|rosig,612,656,423,908,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen,7
238,freie Atemwege,Atemfreq: 15 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 83 /min|peripher kräftig tastbar|RR: 174.102,"wach, nicht orientiert",weit,verlangsamt,trocken|rosig,612,656,423,909,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen,8
239,freie Atemwege,Atemfreq: 15 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 83 /min|peripher kräftig tastbar|RR: 169.099,"wach, nicht orientiert",weit,verlangsamt,trocken|rosig|,612,656,423,908,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen,9
240,,,,,,,,,,,,,,,,,,,,,,,,
276,freie Atemwege,Atemfreq: 13 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 92 /min|peripher kräftig tastbar|RR: 176.102,"bewußtlos, Beugeabwehr",weit,,feucht|rosig,612,656,423,945,104,117,126,135,345,617,418,242,615,722,812,,6
277,freie Atemwege,Atemfreq: 13 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 92 /min|peripher kräftig tastbar|RR: 174.100,"bewußtlos, Beugekrämfpe auf|Schmerzreiz",weit,,feucht|rosig,612,656,423,947,104,117,126,135,345,617,418,242,615,722,812,,7
278,freie Atemwege,Atemfreq: 13 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 92 /min|peripher kräftig tastbar|RR: 183.105,"bewußtlos, Streckkrämpfe auf|Schmerzreiz",weit,,feucht|rosig,612,656,423,945,104,117,126,135,345,617,418,242,615,722,812,Monitoralarm / Pat. verschlechtert sich klinisch,8
279,freie Atemwege,Atemfreq: 13 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 92 /min|peripher kräftig tastbar|RR: 181.103,keine Reaktion,weit,,feucht|rosig|,612,656,423,947,104,117,126,135,345,617,418,242,615,722,812,Monitoralarm / Pat. verschlechtert sich klinisch,9
280,,,,,,,,,,,,,,,,,,,,,,,,
316,freie Atemwege,Atemfreq: 15 /min|SpO2: 99 %|normales AG hörbar,Herzfreq: 83 /min|peripher kräftig tastbar|RR: 173.101,"wach, nicht orientiert",weit,verlangsamt,trocken|rosig,612,656,423,904,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen,6
317,freie Atemwege,Atemfreq: 15 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 83 /min|peripher kräftig tastbar|RR: 168.098,"wach, nicht orientiert",weit,verlangsamt,trocken|rosig,612,656,423,908,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen,7
318,freie Atemwege,Atemfreq: 15 /min|SpO2: 99 %|normales AG hörbar,Herzfreq: 83 /min|peripher kräftig tastbar|RR: 174.102,"wach, nicht orientiert",weit,verlangsamt,trocken|rosig,612,656,423,909,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen,8
319,freie Atemwege,Atemfreq: 15 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 83 /min|peripher kräftig tastbar|RR: 169.099,"wach, nicht orientiert",weit,verlangsamt,trocken|rosig|,612,656,423,908,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen,9
320,,,,,,,,,,,,,,,,,,,,,,,,
356,freie Atemwege,Atemfreq: 17 /min|SpO2: 99 %|vertiefte Atmung|normales AG hörbar,Herzfreq: 92 /min|peripher kräftig tastbar|RR: 176.102,"bewußtlos, Beugeabwehr",weit,,feucht|rosig,612,656,423,945,104,117,126,135,345,617,418,242,615,722,812,,6
357,freie Atemwege,Atemfreq: 17 /min|SpO2: 98 %|vertiefte Atmung|normales AG hörbar,Herzfreq: 92 /min|peripher kräftig tastbar|RR: 174.100,"bewußtlos, Beugekrämfpe auf|Schmerzreiz",weit,,feucht|rosig,612,656,423,947,104,117,126,135,345,617,418,242,615,722,812,,7
358,freie Atemwege,Atemfreq: 17 /min|SpO2: 99 %|vertiefte Atmung|normales AG hörbar,Herzfreq: 92 /min|peripher kräftig tastbar|RR: 183.105,"bewußtlos, Streckkrämpfe auf|Schmerzreiz",weit,,feucht|rosig,612,656,423,945,104,117,126,135,345,617,418,242,615,722,812,Monitoralarm / Pat. verschlechtert sich klinisch,8
359,freie Atemwege,Atemfreq: 17 /min|SpO2: 98 %|vertiefte Atmung|normales AG hörbar,Herzfreq: 92 /min|peripher kräftig tastbar|RR: 181.103,keine Reaktion,weit,,feucht|rosig|,612,656,423,947,104,117,126,135,345,617,418,242,615,722,812,Monitoralarm / Pat. verschlechtert sich klinisch,9
360,,,,,,,,,,,,,,,,,,,,,,,,
500,,Atemfrequenz: 0 /min|SpO2: n.m. %|Atemstillstand,Herzfreq: 0 /min|0|RR: 0,keine Reaktion,"weit, entrundet",,kalt|grau/marmoriert,,,,,,,,,,,,,,,,0|sichere Todeszeichen,
502,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 0 % nicht messbar|Beatmung,Herzfreq: 0 /min|0|RR: 0,keine Reaktion,"weit, entrundet",,kalt|grau/marmoriert,,,,,,,,,,,,,,,,0|sichere Todeszeichen,
551,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 98 %|Beatmung|normales AG hörbar,Herzfreq: 54 /min|peripher kräftig tastbar|RR: 161.091,narkotisiert,mittelweit,,feucht|rosig,612,656,423,907,104,117,126,135,345,617,418,242,615,722,801,Monitoralarm / Pat. verschlechtert sich klinisch,10
552,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 99 %|Beatmung|normales AG hörbar,Herzfreq: 54 /min|peripher kräftig tastbar|RR: 167.095,narkotisiert,mittelweit,,feucht|rosig,612,656,423,947,104,117,126,135,345,617,418,242,615,722,801,Monitoralarm / Pat. verschlechtert sich klinisch,11
553,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 98 %|Beatmung|normales AG hörbar,Herzfreq: 54 /min|peripher kräftig tastbar|RR: 162.092,narkotisiert,mittelweit,,feucht|rosig,612,656,423,907,104,117,126,135,345,617,418,242,615,722,801,Monitoralarm / Pat. verschlechtert sich klinisch,12
554,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 99 %|Beatmung|normales AG hörbar,Herzfreq: 54 /min|peripher kräftig tastbar|RR: 168.096,narkotisiert,mittelweit,,feucht|rosig,612,656,423,947,104,117,126,135,345,617,418,242,615,722,801,Monitoralarm / Pat. verschlechtert sich klinisch,13
555,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 98 %|Beatmung|normales AG hörbar,Herzfreq: 54 /min|peripher kräftig tastbar|RR: 163.093,narkotisiert,mittelweit,,feucht|rosig,612,656,423,907,104,117,126,135,345,617,418,242,615,722,801,Monitoralarm / Pat. verschlechtert sich klinisch,14
556,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 99 %|Beatmung|normales AG hörbar,Herzfreq: 92 /min|peripher kräftig tastbar|RR: 169.097,narkotisiert,weit,,feucht|rosig,612,656,423,947,104,117,126,135,345,617,418,242,615,722,801,,5
716,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 100 %|Beatmung|normales AG hörbar,Herzfreq: 83 /min|peripher kräftig tastbar|RR: 173.101,narkotisiert,weit,,trocken|rosig,612,656,423,904,104,117,126,135,345,617,418,242,615,722,801,,6
717,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 100 %|Beatmung|normales AG hörbar,Herzfreq: 83 /min|peripher kräftig tastbar|RR: 168.098,narkotisiert,weit,,trocken|rosig,612,656,423,908,104,117,126,135,345,617,418,242,615,722,801,,7
718,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 100 %|Beatmung|normales AG hörbar,Herzfreq: 83 /min|peripher kräftig tastbar|RR: 174.102,narkotisiert,weit,,trocken|rosig,612,656,423,909,104,117,126,135,345,617,418,242,615,722,801,,8
