Status,Airway,Breathing,Circulation,Bewusstsein,Pupillen,Psyche,Haut,BGA-Oxy,BGA-SBH,Hb,BZ,Gerinnung,Leber,Niere,Infarkt,Lactat,Rö-Extremitäten,Rö-Thorax,Trauma-CT,Ultraschall,EKG,ZVD,Beschreibung,Übergangstabelle
101,freie Atemwege,Atemfreq: 13 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 72 /min|peripher kräftig tastbar|RR: 147/087,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,906,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen,0
102,freie Atemwege,Atemfreq: 15 /min|SpO2: 99 %|normales AG hörbar,Herzfreq: 76 /min|peripher kräftig tastbar|RR: 153/091,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,912,104,117,126,135,345,617,418,242,615,722,820,Pat. hat keine Schmerzen,1
103,freie Atemwege,Atemfreq: 13 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 72 /min|peripher kräftig tastbar|RR: 148/088,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,906,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen,2
104,freie Atemwege,Atemfreq: 15 /min|SpO2: 99 %|normales AG hörbar,Herzfreq: 76 /min|peripher kräftig tastbar|RR: 154/092,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,912,104,117,126,135,345,617,418,242,615,722,820,Pat. hat keine Schmerzen,3
105,freie Atemwege,Atemfreq: 13 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 72 /min|peripher kräftig tastbar|RR: 149/089,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,906,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen,4
106,freie Atemwege,Atemfreq: 15 /min|SpO2: 99 %|normales AG hörbar,Herzfreq: 76 /min|peripher kräftig tastbar|RR: 155/093,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,926,104,117,126,135,345,617,418,242,615,722,820,Pat. hat keine Schmerzen,5
107,freie Atemwege,Atemfreq: 25 /min|SpO2: 99 %|normales AG hörbar,Herzfreq: 84 /min|peripher kräftig tastbar|RR: 171/102,"wach, orientiert",mittelweit,sehr aufgeregt,trocken|rosig,612,656,423,906,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen,6
237,freie Atemwege,Atemfreq: 14 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 72 /min|peripher kräftig tastbar|RR: 154/088,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,912,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen,7
238,freie Atemwege,Atemfreq: 15 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 77 /min|peripher kräftig tastbar|RR: 158/089,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,919,104,117,126,135,345,617,418,242,615,722,820,Pat. hat keine Schmerzen,8
239,freie Atemwege,Atemfreq: 13 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 75 /min|peripher kräftig tastbar|RR: 151/083,"wach, orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,912,104,117,126,135,345,617,418,242,615,722,812,Pat. hat keine Schmerzen,9
