Status,Airway,Breathing,Circulation,Bewusstsein,Pupillen,Psyche,Haut,BGA-Oxy,BGA-SBH,Hb,BZ,Gerinnung,Leber,Niere,Infarkt,Lactat,Rö-Extremitäten,Rö-Thorax,Trauma-CT,Ultraschall,EKG,ZVD,Beschreibung,Übergangstabelle
101,freie Atemwege,Atemfreq: 13 /min|SpO2: 96 %|normales AG hörbar,Herzfreq: 98 /min|peripher kräftig tastbar|RR: 145/093,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,664,430,906,104,117,126,135,345,520,457,236,615,747,812,Pat. hat keine Schmerzen,0
351,freie Atemwege,Atemfreq: 13 /min|SpO2: 96 %|normales AG hörbar,Herzfreq: 98 /min|peripher kräftig tastbar|RR: 149/097,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,664,430,912,104,117,126,135,345,520,457,236,615,747,812,Pat. hat keine Schmerzen,1
352,freie Atemwege,Atemfreq: 15 /min|SpO2: 97 %|normales AG hörbar,Herzfreq: 103 /min|peripher kräftig tastbar|RR: 155/101,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,664,430,926,104,117,126,135,345,520,457,236,615,747,820,Pat. hat keine Schmerzen,2
353,freie Atemwege,Atemfreq: 13 /min|SpO2: 96 %|normales AG hörbar,Herzfreq: 98 /min|peripher kräftig tastbar|RR: 150/098,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,664,430,912,104,117,126,135,345,520,457,236,615,747,812,Pat. hat keine Schmerzen,3
354,freie Atemwege,Atemfreq: 15 /min|SpO2: 97 %|normales AG hörbar,Herzfreq: 103 /min|peripher kräftig tastbar|RR: 156/102,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,664,430,926,104,117,126,135,345,520,457,236,615,747,820,Pat. hat keine Schmerzen,4
355,freie Atemwege,Atemfreq: 13 /min|SpO2: 96 %|normales AG hörbar,Herzfreq: 98 /min|peripher kräftig tastbar|RR: 151/099,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,664,430,912,104,117,126,135,345,520,457,236,615,747,812,Pat. hat keine Schmerzen,5
356,freie Atemwege,Atemfreq: 15 /min|SpO2: 97 %|normales AG hörbar,Herzfreq: 103 /min|peripher kräftig tastbar|RR: 157/103,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,664,430,926,104,117,126,135,345,520,457,236,615,747,820,Pat. hat keine Schmerzen,6
357,freie Atemwege,Atemfreq: 13 /min|SpO2: 96 %|normales AG hörbar,Herzfreq: 98 /min|peripher kräftig tastbar|RR: 152/100,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,664,430,912,104,117,126,135,345,520,457,236,615,747,812,Pat. hat keine Schmerzen,7
358,freie Atemwege,Atemfreq: 15 /min|SpO2: 97 %|normales AG hörbar,Herzfreq: 103 /min|peripher kräftig tastbar|RR: 158/104,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,664,430,919,104,117,126,135,345,520,457,236,615,747,820,Pat. hat keine Schmerzen,8
359,freie Atemwege,Atemfreq: 13 /min|SpO2: 96 %|normales AG hörbar,Herzfreq: 98 /min|peripher kräftig tastbar|RR: 153/101,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,664,430,912,104,117,126,135,345,520,457,236,615,747,812,Pat. hat keine Schmerzen,9
360,,,,,,,,,,,,,,,,,,,,,,,,
500,,Atemfrequenz: 0 /min|SpO2: n.m. %|Atemstillstand,Herzfreq: 0 /min|0|RR: 0,keine Reaktion,"weit, entrundet",,kalt|grau/marmoriert,,,,,,,,,,,,,,,,0|sichere Todeszeichen,
502,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 0 % nicht messbar|Beatmung,Herzfreq: 0 /min|0|RR: 0,keine Reaktion,"weit, entrundet",,kalt|grau/marmoriert,,,,,,,,,,,,,,,,0|sichere Todeszeichen,
551,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 96 %|Beatmung|normales AG hörbar,Herzfreq: 98 /min|peripher kräftig tastbar|RR: 145/093,narkotisiert,mittelweit,,trocken|rosig,612,664,430,906,104,117,126,135,345,520,457,236,615,747,801,,0
751,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 96 %|Beatmung|normales AG hörbar,Herzfreq: 98 /min|peripher kräftig tastbar|RR: 149/097,narkotisiert,mittelweit,,trocken|rosig,612,664,430,912,104,117,126,135,345,520,457,236,615,747,801,,1
752,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 97 %|Beatmung|normales AG hörbar,Herzfreq: 103 /min|peripher kräftig tastbar|RR: 155/101,narkotisiert,mittelweit,,trocken|rosig,612,664,430,926,104,117,126,135,345,520,457,236,615,747,803,,2
753,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 96 %|Beatmung|normales AG hörbar,Herzfreq: 98 /min|peripher kräftig tastbar|RR: 150/098,narkotisiert,mittelweit,,trocken|rosig,612,664,430,912,104,117,126,135,345,520,457,236,615,747,801,,3
754,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 97 %|Beatmung|normales AG hörbar,Herzfreq: 103 /min|peripher kräftig tastbar|RR: 156/102,narkotisiert,mittelweit,,trocken|rosig,612,664,430,926,104,117,126,135,345,520,457,236,615,747,803,,4
755,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 96 %|Beatmung|normales AG hörbar,Herzfreq: 98 /min|peripher kräftig tastbar|RR: 151/099,narkotisiert,mittelweit,,trocken|rosig,612,664,430,912,104,117,126,135,345,520,457,236,615,747,801,,5
756,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 97 %|Beatmung|normales AG hörbar,Herzfreq: 103 /min|peripher kräftig tastbar|RR: 157/103,narkotisiert,mittelweit,,trocken|rosig,612,664,430,926,104,117,126,135,345,520,457,236,615,747,803,,6
757,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 96 %|Beatmung|normales AG hörbar,Herzfreq: 98 /min|peripher kräftig tastbar|RR: 152/100,narkotisiert,mittelweit,,trocken|rosig,612,664,430,912,104,117,126,135,345,520,457,236,615,747,801,,7
758,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 97 %|Beatmung|normales AG hörbar,Herzfreq: 103 /min|peripher kräftig tastbar|RR: 158/104,narkotisiert,mittelweit,,trocken|rosig,612,664,430,919,104,117,126,135,345,520,457,236,615,747,803,,8
759,künstlicher Atemweg,Atemfreq: 15 /min|SpO2: 96 %|Beatmung|normales AG hörbar,Herzfreq: 98 /min|peripher kräftig tastbar|RR: 153/101,narkotisiert,mittelweit,,trocken|rosig,612,664,430,912,104,117,126,135,345,520,457,236,615,747,801,,9
760,,,,,,,,,,,,,,,,,,,,,,,,
