Status,Airway,Breathing,Circulation,Bewusstsein,Pupillen,Psyche,Haut,BGA-Oxy,BGA_SBH,Hb,BZ,Gerinnung,Leber,Niere,Infarkt,Lactat,Rö-Extremitäten,Rö-Thorax,Trauma-CT,Ultraschall,EKG,ZVD,Beschreibung,Übergangstabelle
101,freie Atemwege,Atemfreq: 17 /min|SpO2: 93 %|normales AG hörbar,Herzfreq: 79 /min|peripher tastbar|RR: 125.063,"wach, orientiert",mittelweit,unauffällig,trocken|leichte Zyanose,608,656,424,906,103,111,126,135,345,566,336,159,615,728,812,Pat. klagt über leichte Atemnot|Pat. hat keine Schmerzen,0
102,freie Atemwege,Atemfreq: 18 /min|SpO2: 94 %|normales AG hörbar,Herzfreq: 83 /min|peripher kräftig tastbar|RR: 131.067,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,424,912,103,111,126,135,345,566,336,159,615,728,820,Pat. hat keine Schmerzen,1
103,freie Atemwege,Atemfreq: 17 /min|SpO2: 93 %|normales AG hörbar,Herzfreq: 79 /min|peripher tastbar|RR: 126.064,"wach, orientiert",mittelweit,unauffällig,trocken|leichte Zyanose,608,656,424,906,103,111,126,135,345,566,336,159,615,728,812,Pat. klagt über leichte Atemnot|Pat. hat keine Schmerzen,2
104,freie Atemwege,Atemfreq: 18 /min|SpO2: 94 %|normales AG hörbar,Herzfreq: 83 /min|peripher kräftig tastbar|RR: 132.068,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,424,912,103,111,126,135,345,566,336,159,615,728,820,Pat. hat keine Schmerzen,3
105,freie Atemwege,Atemfreq: 32 /min|SpO2: 75 %|vertiefte Atmung|Giemen und Brummen|sehr leises AG hörbar,Herzfreq: 93 /min|peripher kräftig tastbar|RR: 147.065,"wach, nicht orientiert",mittelweit,sehr aufgeregt,feucht|sichtbare Zyanose,606,663,424,906,103,111,126,135,345,566,336,159,615,728,812,Pat. klagt über Atemnot|Pat. hat keine Schmerzen|Monitoralarm / Pat. verschlechtert sich klinisch,4
255,freie Atemwege,Atemfreq: 18 /min|SpO2: 92 %|normales AG hörbar,Herzfreq: 78 /min|peripher kräftig tastbar|RR: 133.072,"wach, orientiert",mittelweit,unauffällig,trocken|leichte Zyanose,608,656,424,912,103,111,126,135,345,566,336,159,615,728,812,Pat. klagt über leichte Atemnot|Pat. hat keine Schmerzen,5
256,freie Atemwege,Atemfreq: 18 /min|SpO2: 94 %|normales AG hörbar,Herzfreq: 84 /min|peripher kräftig tastbar|RR: 141.079,"wach, orientiert",mittelweit,unauffällig,trocken|leichte Zyanose,608,656,424,926,103,111,126,135,345,566,336,159,615,728,820,Pat. klagt über leichte Atemnot|Pat. hat keine Schmerzen,6
257,freie Atemwege,Atemfreq: 17 /min|SpO2: 94 %|normales AG hörbar,Herzfreq: 82 /min|peripher kräftig tastbar|RR: 138.079,"wach, orientiert",mittelweit,unauffällig,trocken|leichte Zyanose,608,656,424,912,103,111,126,135,345,566,336,159,615,728,812,Pat. klagt über leichte Atemnot|Pat. hat keine Schmerzen,7
258,freie Atemwege,Atemfreq: 17 /min|SpO2: 96 %|normales AG hörbar,Herzfreq: 88 /min|peripher kräftig tastbar|RR: 146.086,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,424,919,103,111,126,135,345,566,336,159,615,728,820,Pat. hat keine Schmerzen,8
259,freie Atemwege,Atemfreq: 16 /min|SpO2: 96 %|normales AG hörbar,Herzfreq: 86 /min|peripher kräftig tastbar|RR: 143.086,"wach, orientiert",mittelweit,unauffällig,trocken|rosig|,612,656,424,912,103,111,126,135,345,566,336,159,615,728,824,Pat. hat keine Schmerzen,9
260,,,,,,,,,,,,,,,,,,,,,,,,
275,freie Atemwege,Atemfreq: 28 /min|SpO2: 79 %|Giemen und Brummen|sehr leises AG hörbar,Herzfreq: 86 /min|peripher kräftig tastbar|RR: 144.066,"wach, nicht orientiert",mittelweit,aufgeregt,feucht|sichtbare Zyanose,606,656,424,912,103,111,126,135,345,566,336,159,615,728,833,Pat. klagt über Atemnot|Pat. hat keine Schmerzen|Monitoralarm / Pat. verschlechtert sich klinisch,5
276,freie Atemwege,Atemfreq: 30 /min|SpO2: 79 %|Giemen und Brummen|sehr leises AG hörbar,Herzfreq: 88 /min|peripher kräftig tastbar|RR: 148.067,"wach, nicht orientiert",mittelweit,aufgeregt,feucht|sichtbare Zyanose,606,656,424,926,103,111,126,135,345,566,336,159,615,728,824,Pat. klagt über Atemnot|Pat. hat keine Schmerzen|Monitoralarm / Pat. verschlechtert sich klinisch,6
277,freie Atemwege,Atemfreq: 29 /min|SpO2: 77 %|Giemen und Brummen|sehr leises AG hörbar,Herzfreq: 82 /min|peripher kräftig tastbar|RR: 141.061,"wach, nicht orientiert",mittelweit,aufgeregt,feucht|sichtbare Zyanose,606,656,424,912,103,111,126,135,345,566,336,159,615,728,833,Pat. klagt über Atemnot|Pat. hat keine Schmerzen|Monitoralarm / Pat. verschlechtert sich klinisch,7
278,freie Atemwege,Atemfreq: 31 /min|SpO2: 77 %|Giemen und Brummen|sehr leises AG hörbar,Herzfreq: 84 /min|peripher kräftig tastbar|RR: 145.062,"wach, nicht orientiert",mittelweit,aufgeregt,feucht|sichtbare Zyanose,606,656,424,919,103,111,126,135,345,566,336,159,615,728,824,Pat. klagt über Atemnot|Pat. hat keine Schmerzen|Monitoralarm / Pat. verschlechtert sich klinisch,8
